k,view,norm,avg_popularity
0,Interest,0.5200903415679932,2.5097711143950923
1,Interest,0.5467339754104614,3.557824486701887
2,Interest,0.5209462642669678,3.0126159350286117
3,Interest,0.581757664680481,2.5535530036336977
4,Interest,0.5490317344665527,3.5454802836502033
5,Interest,0.5089721083641052,5.831975729253918
6,Interest,0.5199127793312073,3.8159942274385528
7,Interest,0.5456201434135437,4.641695124001939
8,Interest,0.5709389448165894,2.854491610920761
9,Interest,0.5536618232727051,5.430025552399506
10,Interest,0.5567197203636169,3.1989235608934585
11,Interest,0.5350459218025208,3.5169099308994474
12,Interest,0.5549033880233765,2.533006043245895
13,Interest,0.5501335263252258,3.0698050540537882
14,Interest,0.5817059874534607,2.641190450582716
15,Interest,0.482815146446228,5.487850651866631
16,Interest,0.5610200762748718,2.8062026538170146
17,Interest,0.5024935603141785,5.652134292368819
18,Interest,0.5715736150741577,3.1516431890659233
19,Interest,0.5463706254959106,3.7923614195833295
20,Interest,0.5708895325660706,3.6310091502670887
21,Interest,0.5559707283973694,2.478336943525419
22,Interest,0.5461057424545288,2.6145803868100264
23,Interest,0.5505170822143555,3.164422619057951
24,Interest,0.5258020758628845,3.3812121013645458
25,Interest,0.4986562728881836,5.345753872494009
26,Interest,0.528728187084198,3.1678947348544626
27,Interest,0.4694341719150543,7.252798693493128
28,Interest,0.48018544912338257,5.956963320902221
29,Interest,0.5715475678443909,3.0386075869593845
30,Interest,0.5505108833312988,2.59344389378989
31,Interest,0.5411797761917114,2.894744535902821
32,Interest,0.5171347260475159,4.033600014674826
33,Interest,0.5372945666313171,2.3533470285570655
34,Interest,0.4734291136264801,3.3065931099114736
35,Interest,0.53411465883255,4.059898274834193
36,Interest,0.5895676612854004,2.4371113158577633
37,Interest,0.5776665806770325,2.883568712907192
38,Interest,0.47543764114379883,5.749170595042488
39,Interest,0.5664755702018738,2.852840795639108
40,Interest,0.5363644957542419,3.747469605523159
41,Interest,0.5828824043273926,2.535859804667044
42,Interest,0.5226973295211792,3.3647948702497565
43,Interest,0.4891100823879242,5.544423946045731
44,Interest,0.5525726079940796,3.390908204074736
45,Interest,0.5727944374084473,3.0212196951083703
46,Interest,0.5581026673316956,3.174789869790721
47,Interest,0.5559213161468506,2.4388851486912406
48,Interest,0.5623152256011963,3.3936618410956028
49,Interest,0.5779126286506653,2.299062277405008
50,Interest,0.5902550220489502,2.8196037410907366
51,Interest,0.5921705961227417,4.085082396548094
52,Interest,0.5833261013031006,2.7417087517511765
53,Interest,0.4795500636100769,5.280083756990175
54,Interest,0.5470420718193054,2.796392626066525
55,Interest,0.5890509486198425,2.6586223266772993
56,Interest,0.5823851823806763,3.219261139634514
57,Interest,0.5317664742469788,3.986111643113433
58,Interest,0.5124547481536865,5.216741962278181
59,Interest,0.5616524815559387,3.694860587392008
60,Interest,0.5594650506973267,2.803900236807256
61,Interest,0.48896536231040955,5.995363858845827
62,Interest,0.5901963710784912,3.0594813611488823
63,Interest,0.5662831664085388,2.95316359792169
