folder_name,param_alpha,param_cg_steps,param_density,param_embedding_dim,param_k,param_l1_ratio,param_learning_rate,param_max_iter,param_name,param_positive_constraint,param_reg_lambda,param_save_model,param_target_k,param_tol,param_visualize,Coverage@10,Coverage@20,Coverage@5,Coverage@50,Entropy@10,Entropy@20,Entropy@5,Entropy@50,GiniIndex,GiniIndex@10,GiniIndex@20,GiniIndex@5,GiniIndex@50,GiniIndex_emb,GiniIndex_emb@10,GiniIndex_emb@20,GiniIndex_emb@5,GiniIndex_emb@50,HeadHitRate@10,HeadHitRate@20,HeadHitRate@5,HeadHitRate@50,HeadNDCG@10,HeadNDCG@20,HeadNDCG@5,HeadNDCG@50,HitRate@10,HitRate@20,HitRate@5,HitRate@50,ILD@10,ILD@20,ILD@5,ILD@50,LongTailCoverage@10,LongTailCoverage@20,LongTailCoverage@5,LongTailCoverage@50,LongTailHitRate@10,LongTailHitRate@20,LongTailHitRate@5,LongTailHitRate@50,LongTailNDCG@10,LongTailNDCG@20,LongTailNDCG@5,LongTailNDCG@50,NDCG@10,NDCG@20,NDCG@5,NDCG@50,Novelty@10,Novelty@20,Novelty@5,Novelty@50,PopRatio@10,PopRatio@20,PopRatio@5,PopRatio@50
svd_ae__BEST_svd_ae_SVDAE_Params_Search,,,,,283,,,,svd_ae,,77.309127250158,True,,,True,0.49603174603174605,0.6111111111111112,0.39285714285714285,0.8253968253968254,8.142046777487831,8.449800083331017,7.855879500154405,8.909043009905025,0.6414733306257826,0.7912962821944698,0.7411633372254375,0.8280785697363523,0.6414733306257826,,0.0,0.0,0.0,0.0,0.3928980526918671,0.5463917525773195,0.27147766323024053,0.7560137457044673,0.11413883395060583,0.14435387702369665,0.09517891008916608,0.1979890844353178,0.3742004264392324,0.5330490405117271,0.25692963752665243,0.7473347547974414,0.0,0.0,0.0,0.0,0.2016260162601626,0.36585365853658536,0.08455284552845528,0.7138211382113822,0.020061728395061727,0.05555555555555555,0.009259259259259259,0.20987654320987653,0.004772012120716909,0.010638686152132284,0.003060375180961045,0.03019673203826588,0.09639978067722996,0.11849442987957384,0.08432633041502849,0.1677651201351246,8.644557954821481,8.820109960773898,8.514419597224004,9.130051927534456,3.1704332847809593,2.89545274842409,3.4582213656685807,2.6029591642929772
ials__BEST_ials_iALS_Lambda_Search,3.898060523821732,3,,128,,,,15,ials,,17.44587350344635,True,,,True,0.43353174603174605,0.5337301587301587,0.3541666666666667,0.6944444444444444,7.937198864905721,8.233268808443084,7.661592328164397,8.69058031078842,0.6914605543710022,0.818638102006972,0.7773807408535554,0.8498582766439909,0.6914605543710022,0.29802249184504004,0.11776916735634227,0.12521096664364545,0.11259299181573719,0.14738545102073503,0.38144329896907214,0.5578465063001146,0.26575028636884307,0.7709049255441008,0.11116064634348487,0.14766942212560083,0.09031727809044306,0.2022053404511115,0.35927505330490406,0.5309168443496801,0.2484008528784648,0.7526652452025586,0.8802783354513173,0.8460447943922299,0.9943233872019152,0.8521334490160952,0.12032520325203253,0.24390243902439024,0.056910569105691054,0.4991869918699187,0.013888888888888888,0.038580246913580245,0.004629629629629629,0.16049382716049382,0.002593151127066908,0.006146568112814952,0.0013815944445755134,0.021062050517399657,0.09175148870745159,0.11786879867213161,0.07769689397069449,0.16598891109382152,8.522556553394663,8.685754482365999,8.397084494705124,8.986820504251778,3.3571523561882275,3.1143548040322577,3.6170562939035094,2.7047018894262114
sansa__BEST_sansa_SANSA_Lambda_Search,,,0.4342324304590501,,,,,,sansa,,86.62515596485653,True,0,,True,0.47619047619047616,0.5773809523809523,0.38492063492063494,0.7718253968253969,8.146968854983268,8.420849668714052,7.874815541329962,8.861674599788834,0.6509784834331742,0.7897523437235591,0.7450120782143703,0.8254662063830507,0.6509784834331742,,0.0,0.0,0.0,0.0,0.3951890034364261,0.5578465063001146,0.27720504009163804,0.7537227949599083,0.11486054748548,0.1488634001108045,0.09697815452767933,0.20046810543520516,0.373134328358209,0.5405117270788913,0.2601279317697228,0.744136460554371,0.0,0.0,0.0,0.0,0.16910569105691056,0.3105691056910569,0.06504065040650407,0.6260162601626016,0.016975308641975308,0.04938271604938271,0.006172839506172839,0.19444444444444445,0.003636812072619487,0.008618824005665568,0.0017706583748015735,0.02682257020041167,0.09609451982596162,0.12075316961938584,0.08456371562695052,0.16785143292798152,8.648997382948432,8.803139058011528,8.523989933259031,9.09726658169894,3.211781596309706,2.9031976238709927,3.411096311663709,2.619909977479362
slim__BEST_slim_SLIM_ElasticNet_Search,0.008912851695825442,,,,,0.48146034231523577,0.1,500,slim,True,,True,,1e-4,True,0.3402777777777778,0.4384920634920635,0.25892857142857145,0.5744047619047619,7.463964716044305,7.834100950653026,7.09476221736862,8.333833853338572,0.7599380224726706,0.8693177395336243,0.8311179011405557,0.8983695468237046,0.7599380224726706,,0.0,0.0,0.0,0.0,0.38717067583046966,0.5463917525773195,0.27147766323024053,0.7754868270332188,0.11026175260973042,0.14295601720498413,0.09387855663403663,0.20191974640038907,0.36353944562899787,0.5149253731343284,0.2526652452025586,0.7356076759061834,0.0,0.0,0.0,0.0,0.03902439024390244,0.12357723577235773,0.00975609756097561,0.3056910569105691,0.004629629629629629,0.015432098765432098,0.0,0.06635802469135803,0.0010566536264199071,0.0029967544428598485,0.0,0.010493114028414765,0.09177631860135338,0.1144403086100123,0.08253455711419552,0.16206847783509512,8.294268302823381,8.463427971591143,8.154049107934785,8.736139907203068,3.7884101031790474,3.428340984919456,4.064716478075441,3.0031331271175974
rlae__BEST_rlae_RLAE_Params_Search,0.007702233306056533,,,,,,,,rlae,,121.65430177937324,True,,,True,0.41964285714285715,0.5337301587301587,0.3353174603174603,0.7073412698412699,7.878666440946641,8.215934761639996,7.563679694546166,8.699111667615767,0.6893064016651437,0.8255389718076285,0.7793898280705317,0.8592995904829593,0.6893064016651437,,0.0,0.0,0.0,0.0,0.3963344788087056,0.5589919816723941,0.27376861397479957,0.7697594501718213,0.11265460645501882,0.147617480397954,0.09414309318121318,0.2032394316641039,0.37100213219616207,0.5309168443496801,0.25692963752665243,0.7569296375266524,0.0,0.0,0.0,0.0,0.1024390243902439,0.24552845528455283,0.03902439024390244,0.5203252032520326,0.009259259259259259,0.029320987654320986,0.004629629629629629,0.1728395061728395,0.0019684473678033905,0.005423320145205933,0.001438182705887778,0.022567572073082205,0.09382527096698151,0.11856990819334003,0.08242342345518035,0.16794141113327304,8.488453271965998,8.668916466246865,8.344540888899967,8.974650700068269,3.4146338001124223,3.100440812742821,3.7454995537815785,2.7116805610092665
light_lira__BEST_light_lira_LightLiRA_Lambda_K_Search,,,,,634,,,,light_lira,,135.42300627301253,True,,,True,0.5535714285714286,0.7212301587301587,0.4444444444444444,0.9107142857142857,8.253126339627741,8.569907569097111,7.949189323974218,9.032074564932973,0.6118640217280942,0.7746340576031407,0.7202865350120148,0.8164031035299693,0.6118640217280942,0.1475711212817036,0.019615397428528712,0.024583411418564065,0.016551172914228415,0.03709273457985065,0.3917525773195876,0.5303550973654066,0.26689576174112256,0.7353951890034365,0.11052372556813299,0.14105024840658226,0.0925166442104849,0.19289610270790636,0.3773987206823028,0.5181236673773987,0.2547974413646055,0.7388059701492538,1.1100112658573875,1.0516108462551255,1.2487897276878357,1.0193874032766834,0.2894308943089431,0.5447154471544715,0.16585365853658537,0.8536585365853658,0.027777777777777776,0.07716049382716049,0.015432098765432098,0.2330246913580247,0.006920608133936234,0.013363649491251425,0.004800932928395735,0.0353633184445796,0.09421149378283887,0.11687978610340251,0.08284423586516161,0.16597695606411203,8.764872525446412,8.951146422564474,8.616322336414978,9.294741399640335,3.158549162759273,2.888444278362129,3.3795760258189596,2.555107092912397
pure-svd__BEST_pure_svd_PureSVD_Rank_Search,,,,28,,,,,pure-svd,,,True,,,True,0.34523809523809523,0.4236111111111111,0.2638888888888889,0.5753968253968254,7.592739232218871,7.946091028687224,7.252499869349851,8.469726392266804,0.7316601093173588,0.8569691931498967,0.8158963896503875,0.8870426777676245,0.7316601093173588,,0.0,0.0,0.0,0.0,0.3963344788087056,0.5509736540664376,0.2646048109965636,0.7674684994272624,0.1054756797424219,0.1392109870393519,0.08635042400601915,0.19448010188504572,0.36886993603411516,0.5138592750533049,0.2462686567164179,0.7281449893390192,0.0,0.0,0.0,0.0,0.024390243902439025,0.08943089430894309,0.0032520325203252032,0.3056910569105691,0.0015432098765432098,0.009259259259259259,0.0,0.08641975308641975,0.00015110019344130834,0.0016814266941577707,0.0,0.009584824562276864,0.08658492016813597,0.11016940712833617,0.07502459487148792,0.1539886804020225,8.37994871310114,8.558384446447956,8.231594163096117,8.84723562244618,3.510025963916095,3.182140160092631,3.8375655550227807,2.756021178407247
ease__BEST_ease_EASE_Lambda_Search,,,,,,,,,ease,,140.60892575240848,True,,,True,0.30357142857142855,0.4117063492063492,0.23809523809523808,0.5982142857142857,7.242611879570722,7.699995947561952,6.79006954741698,8.323639398132642,0.762015517649846,0.88798334010221,0.8460651673604765,0.917590618336887,0.762015517649846,,0.0,0.0,0.0,0.0,0.3917525773195876,0.5578465063001146,0.27147766323024053,0.8018327605956472,0.11090200745820797,0.14609263878848905,0.09050944061260877,0.20888444332877662,0.3656716417910448,0.5213219616204691,0.2526652452025586,0.7643923240938166,0.0,0.0,0.0,0.0,0.02113821138211382,0.0959349593495935,0.004878048780487805,0.34308943089430893,0.0030864197530864196,0.007716049382716049,0.0,0.08024691358024691,0.0007831362085432903,0.0016257864728937638,0.0,0.010936678155875294,0.09177524937783,0.11617595817925386,0.07923344111642201,0.1677086422480539,8.180351137835316,8.388993083786618,8.000783056397474,8.71936725625704,3.937297397043099,3.524428515875909,4.333035641380376,3.000689191485309
infinity_ae__BEST_infinity_ae_InfinityAE_Lambda_Search,,,,,,,,,infinity_ae,,8.271063658604344,True,,,True,0.08333333333333333,0.1378968253968254,0.054563492063492064,0.21825396825396826,5.356602872985441,6.136091161686252,4.615947190694797,7.013094547703728,0.902076099096355,0.9696923545537618,0.9478721401495922,0.9819888651978205,0.902076099096355,,0.0,0.0,0.0,0.0,0.31844215349369986,0.5017182130584192,0.19358533791523483,0.7514318442153494,0.07839386495878098,0.11034722640239128,0.06174423210482071,0.1691713344990463,0.29637526652452023,0.4669509594882729,0.18017057569296374,0.6993603411513859,0.0,0.0,0.0,0.0,0.0,0.0016260162601626016,0.0,0.00975609756097561,0.0,0.0,0.0,0.0030864197530864196,0.0,0.0,0.0,0.0005468636423936972,0.0650932419299151,0.08766371397834795,0.053706811071373255,0.13324513460287016,7.628582169716618,7.850100946930241,7.450136486884103,8.143482130612423,5.276304395624882,4.580844072062756,5.893027869145002,3.818206832176167
lira__BEST_lira_LiRA_Lambda_Search,,,,,,,,,lira,,169.62779713683116,True,,,True,0.5257936507936508,0.6716269841269841,0.40674603174603174,0.8898809523809523,8.125994002110575,8.456339694433426,7.805938758504686,8.950024766154451,0.6338562713642671,0.7940313314380478,0.7415349908620165,0.8339806071682404,0.6338562713642671,0.17941693337540743,0.10303281396755462,0.10810769233617301,0.09929999745378792,0.12158199167183305,0.3963344788087056,0.5383734249713631,0.26804123711340205,0.7514318442153494,0.1115601140780921,0.1437360799054284,0.09374661144394461,0.19674798824271736,0.3805970149253731,0.5245202558635395,0.2547974413646055,0.7484008528784648,1.0354520895206598,0.9894661436965471,1.1618642375540378,0.9736762658746512,0.25203252032520324,0.4666666666666667,0.13008130081300814,0.8195121951219512,0.026234567901234566,0.06790123456790123,0.012345679012345678,0.22685185185185186,0.006190885604762793,0.011778745847635252,0.0037036501001215167,0.033058329234696204,0.09489447957163998,0.11836546063941943,0.0833347727859517,0.16792117281868163,8.682608221153888,8.869419879369657,8.530637390528934,9.22651342023993,3.2356930275096456,2.9541377531283994,3.46137533125506,2.6163078801712953
