Model,Run,NDCG,LongTailCoverage,Delta_Tail,Expected_Loss_NDCG,Actual_Loss_NDCG,Expected_NDCG,Efficiency,Outperformance_Pct,Is_CSAR
svd_ae,svd_ae__BEST_svd_ae_SVDAE_Params_Search,0.09639978067722996,0.2016260162601626,0.0,0.0,0.0,0.09639978067722996,1.0,0.0,False
ials,ials__BEST_ials_iALS_Lambda_Search,0.09175148870745159,0.12032520325203253,-0.08130081300813008,-0.00469223064239957,0.0046482919697783676,0.10109201131962953,-1.0094526490390183,-9.23962486278502,False
sansa,sansa__BEST_sansa_SANSA_Lambda_Search,0.09609451982596162,0.16910569105691056,-0.03252032520325204,-0.0018768922569598289,0.00030526085126833524,0.09827667293418979,-6.148486611242439,-2.2204181756228465,False
slim,slim__BEST_slim_SLIM_ElasticNet_Search,0.09177631860135338,0.03902439024390244,-0.16260162601626016,-0.00938446128479914,0.004623462075876578,0.1057842419620291,-2.02974765030811,-13.241975459543223,False
rlae,rlae__BEST_rlae_RLAE_Params_Search,0.09382527096698151,0.1024390243902439,-0.09918699186991871,-0.005724521383727476,0.002574509710248446,0.10212430206095743,-2.2235384706220613,-8.126401773617289,False
light_lira,light_lira__BEST_light_lira_LightLiRA_Lambda_K_Search,0.09421149378283887,0.2894308943089431,0.08780487804878048,0.005067609093791535,0.0021882868943910866,0.09133217158343843,2.315788257371824,3.1525826545906432,False
pure-svd,pure-svd__BEST_pure_svd_PureSVD_Rank_Search,0.08658492016813597,0.024390243902439025,-0.1772357723577236,-0.010229062800431064,0.009814860509093984,0.10662884347766102,-1.042201546415591,-18.797843675125574,False
ease,ease__BEST_ease_EASE_Lambda_Search,0.09177524937783,0.02113821138211382,-0.18048780487804877,-0.010416752026127045,0.0046245312993999504,0.106816532703357,-2.2524989781080422,-14.081418807422386,False
infinity_ae,infinity_ae__BEST_infinity_ae_InfinityAE_Lambda_Search,0.0650932419299151,0.0,-0.2016260162601626,-0.011636731993150934,0.03130653874731486,0.10803651267038089,-0.37170292401452426,-39.748849420459905,False
lira,lira__BEST_lira_LiRA_Lambda_Search,0.09489447957163998,0.25203252032520324,0.05040650406504063,0.0029091829982877326,0.0015053011055899818,0.09349059767894223,1.9326252983435623,1.501628963287668,False
