Model,Run,NDCG,LongTailCoverage,Expected_NDCG,PEI,PEI_Percent
svd_ae,svd_ae__BEST_svd_ae_SVDAE_Params_Search,0.09639978067722996,0.2016260162601626,0.02093271835502424,4.6052203561078455,360.52203561078454
ials,ials__BEST_ials_iALS_Lambda_Search,0.09175148870745159,0.12032520325203253,0.02286040217790526,4.013555316893333,301.3555316893333
sansa,sansa__BEST_sansa_SANSA_Lambda_Search,0.09609451982596162,0.16910569105691056,0.021586968304702706,4.451506041495762,345.15060414957617
slim,slim__BEST_slim_SLIM_ElasticNet_Search,0.09177631860135338,0.03902439024390244,0.024479351151965128,3.7491319942107966,274.91319942107964
rlae,rlae__BEST_rlae_RLAE_Params_Search,0.09382527096698151,0.1024390243902439,0.023755049629921192,3.9496979559580394,294.96979559580393
light_lira,light_lira__BEST_light_lira_LightLiRA_Lambda_K_Search,0.09421149378283887,0.2894308943089431,0.020474395359796206,4.601429840894536,360.1429840894536
pure-svd,pure-svd__BEST_pure_svd_PureSVD_Rank_Search,0.08658492016813597,0.024390243902439025,0.024594904885177123,3.5204413504489316,252.04413504489315
ease,ease__BEST_ease_EASE_Lambda_Search,0.09177524937783,0.02113821138211382,0.02488741493044983,3.6876167988641804,268.76167988641805
infinity_ae,infinity_ae__BEST_infinity_ae_InfinityAE_Lambda_Search,0.0650932419299151,0.0,,inf,inf
lira,lira__BEST_lira_LiRA_Lambda_Search,0.09489447957163998,0.25203252032520324,0.020747704284100225,4.573733954959119,357.3733954959119
