k,norm,avg_popularity
0,4.206602096557617,3.104125292319719
1,4.3563947677612305,5.086245368966403
2,4.162945747375488,4.965406460719627
3,4.487495422363281,3.734081612304439
4,4.377496719360352,3.7690395357918325
5,4.159871578216553,4.113848977135668
6,4.153227806091309,4.611127086289345
7,4.591282367706299,3.170780952136208
8,4.5545549392700195,2.548519026702687
9,4.264364242553711,4.765973932605341
10,3.9508755207061768,6.760312618064435
11,3.544504404067993,4.620943824302179
12,4.034797668457031,5.469939231173984
13,4.01824951171875,4.040716235483972
14,4.164283275604248,5.874691214601765
15,4.431626796722412,3.726302507628918
16,4.272689342498779,3.849331481617425
17,3.9590506553649902,5.903029557599625
18,4.555234909057617,2.633998759517594
19,3.3702962398529053,5.809936949437058
20,4.469939708709717,4.2694101148467025
21,3.631460189819336,5.094730960508731
22,3.8367555141448975,7.124220861659651
23,3.77767014503479,4.755266646241756
24,4.28812837600708,5.571465052803386
25,4.253383636474609,4.469403421061274
26,4.258489608764648,4.3659227367459525
27,3.7136027812957764,5.853964361109955
28,4.11184549331665,4.5439519891409414
29,3.7083675861358643,6.420719099220963
30,4.161318778991699,4.428401793420194
31,4.583505630493164,2.7828494188877335
32,4.222984790802002,5.19164829184915
33,4.164503574371338,4.503364374653012
34,4.1748552322387695,6.088612800860313
35,4.075730323791504,5.837296342654673
36,3.704463005065918,5.808439734020625
37,3.886354446411133,4.83448483872646
38,3.7919068336486816,4.62890798641608
39,4.355566024780273,3.768996469175292
40,4.08381462097168,3.815646950018879
41,4.370882034301758,2.7887393140113046
42,3.9381649494171143,5.657829580491418
43,4.439471244812012,3.8674211744388893
44,3.576730251312256,6.1700012379769085
45,3.960564613342285,5.327016887319447
46,4.231327533721924,4.14978296613441
47,3.9637351036071777,5.2701707694732765
48,3.9010112285614014,3.8560603046423574
49,3.8642196655273438,6.0357424391136565
50,4.062205791473389,5.493810898910453
51,4.40074348449707,3.6643764290671443
52,3.721975564956665,5.418260138346879
53,4.346156597137451,2.9221726731626823
54,4.278839588165283,4.335730636525051
55,4.437800407409668,2.8735523664374254
56,4.2071990966796875,5.023473509297537
57,4.29813814163208,4.363782063494005
58,3.4540092945098877,6.036783524947626
59,4.311715602874756,3.2607329630129653
60,4.019906044006348,4.90044496503952
61,4.410616874694824,3.6568029645529294
62,3.711137294769287,5.498106876230678
63,3.3580031394958496,6.579706115758472
