Model,Run,NDCG,LongTailCoverage,Delta_Tail,Expected_Loss_NDCG,Actual_Loss_NDCG,Expected_NDCG,Efficiency,Outperformance_Pct,Is_CSAR
svd_ae,svd_ae__BEST_svd_ae_SVDAE_Params_Search,0.06792030186021855,0.010355695632597929,-0.01755965781179649,-0.0007200349054104878,0.00044718300444517023,0.06908751977007421,-1.6101571353407111,-1.689477222138246,False
ials,ials__BEST_ials_iALS_Lambda_Search,0.06640167465604231,0.0036019810895992796,-0.024313372354795137,-0.0009969714074914446,0.00196581020862141,0.06936445627215516,-0.5071554736663026,-4.271325366536746,False
sansa,sansa__BEST_sansa_SANSA_Lambda_Search,0.06792672429285723,0.00945520036019811,-0.01846015308419631,-0.0007569597723546155,0.0004407605718064894,0.06912444463701833,-1.717394478485588,-1.732701579666196,False
slim,slim__BEST_slim_SLIM_ElasticNet_Search,0.06310707469214885,0.12426834759117515,0.09635299414678074,0.003950960763021651,0.0052604101725148705,0.06441652410164207,0.7510746564336437,-2.032784953480347,False
rlae,rlae__BEST_rlae_RLAE_Params_Search,0.06792083288175042,0.00990544799639802,-0.018009905447996397,-0.0007384973388825516,0.00044665198291329866,0.06910598220354627,-1.6534066054418575,-1.7149735580128007,False
light_lira,light_lira__BEST_light_lira_LightLiRA_Lambda_K_Search,0.06836748486466372,0.027915353444394417,0.0,0.0,0.0,0.06836748486466372,1.0,0.0,False
pure-svd,pure-svd__BEST_pure_svd_PureSVD_Rank_Search,0.06388979334728055,0.0022512381809995496,-0.02566411526339487,-0.0010523587079076361,0.00447769151738317,0.06941984357257136,-0.23502260122703816,-7.966094333689624,False
ease,ease__BEST_ease_EASE_Lambda_Search,0.06776430199498507,0.01125619090499775,-0.016659162539396668,-0.0006831100384663603,0.0006031828696786562,0.06905059490313008,-1.1325090164286082,-1.8628266852002227,False
infinity_ae,infinity_ae__BEST_infinity_ae_InfinityAE_Lambda_Search,0.05395613240623895,0.0,-0.027915353444394417,-0.001144670875267955,0.014411352458424773,0.06951215573993168,-0.07942841440941852,-22.37885326401477,False
lira,lira__BEST_lira_LiRA_Lambda_Search,0.06828848192564443,0.028365601080594327,0.00045024763619990957,1.8462433472063772e-05,7.900293901928757e-05,0.06834902243119166,0.0,-0.08857552514108631,False
