model,GiniIndex,GiniIndex_emb,interests,layers,weight,Coverage@10,Coverage@20,Coverage@5,Coverage@50,Entropy@10,Entropy@20,Entropy@5,Entropy@50,GiniIndex@10,GiniIndex@20,GiniIndex@5,GiniIndex@50,GiniIndex_emb@10,GiniIndex_emb@20,GiniIndex_emb@5,GiniIndex_emb@50,HitRate@10,HitRate@20,HitRate@5,HitRate@50,ILD@10,ILD@20,ILD@5,ILD@50,LongTailCoverage@10,LongTailCoverage@20,LongTailCoverage@5,LongTailCoverage@50,NDCG@10,NDCG@20,NDCG@5,NDCG@50,Novelty@10,Novelty@20,Novelty@5,Novelty@50
ease,0.793118802247267,,,,,0.26587301587301587,0.3501984126984127,0.17956349206349206,0.5208333333333334,6.975907301742025,7.469124263348542,6.448915129209688,8.118325294885452,0.9071358767387552,0.8688928867566927,0.9352315801942668,0.793118802247267,0.0,0.0,0.0,0.0,0.1140724946695096,0.1865671641791045,0.0767590618336887,0.3368869936034115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05786972613246219,0.0760633471331365,0.045851076255801405,0.10589739940700223,3.2330466574764256,3.443295902341438,3.048784336270947,3.760243981045698
csar-listwise,0.6812847751040715,0.20239235852417256,64.0,,0.1,0.40575396825396826,0.5625,0.30158730158730157,0.8234126984126984,7.731151339064825,8.130874865807968,7.33078867747551,8.750592751597313,0.8432529106169832,0.7936797729041866,0.880879192473009,0.6812847751040715,0.1710737304554543,0.17424687383294246,0.1696946416616811,0.1855983091286794,0.10980810234541578,0.18550106609808104,0.0628997867803838,0.3272921108742004,0.9497898954318277,0.9129258628720159,1.0719857107220427,0.910222936604323,0.0,0.007054673721340388,0.0,0.09156626506024096,0.05434515693916073,0.07353000925294356,0.039414674205400665,0.10165977459120175,3.6044595385655023,3.830621886106308,3.412843720316741,4.268072710155377
csar-sampled,0.5369796849087893,0.07114900594598403,96.0,,1.0,0.7331349206349206,0.8482142857142857,0.5863095238095238,0.9523809523809523,8.754163669758348,8.97323951111325,8.505092786215787,9.269787514265975,0.678575236064575,0.6265660430839002,0.7273094561207568,0.5369796849087893,0.05461055723421186,0.056042345779634004,0.05358552014153803,0.05809235569555622,0.10554371002132196,0.17484008528784648,0.054371002132196165,0.3272921108742004,1.0122598171996664,0.9618131280072463,1.141936192888695,0.943958540524501,0.07848443843031123,0.11228070175438597,0.047377326565143825,0.16770833333333332,0.048602330151853876,0.06608553672503033,0.03213443883938521,0.09564889883949171,4.315025400834275,4.429478652128074,4.211291126195888,4.671192025500221
csar-listwise,0.5700476359698108,0.1445827128136388,96.0,,0.1,0.6339285714285714,0.7668650793650794,0.48908730158730157,0.9503968253968254,8.448029715969799,8.747370206484517,8.130862372305058,9.171806202734075,0.7408916302839543,0.6821241369682202,0.7901986665312891,0.5700476359698108,0.14488965274640236,0.14680988836211503,0.14451378556875072,0.14818269750084279,0.11727078891257996,0.18550106609808104,0.06396588486140725,0.31663113006396587,0.9998863126550402,0.9537816710436522,1.1276758785949332,0.9387073066315925,0.0297339593114241,0.0724450194049159,0.008113590263691683,0.1649269311064718,0.05710921812429279,0.07419878405442534,0.040246397837874565,0.1002816400131023,4.048884423319192,4.250749826315875,3.8734242718594034,4.613965232679265
csar-sampled,0.6262267319863268,0.07003783566675412,64.0,,1.0,0.6061507936507936,0.7668650793650794,0.4652777777777778,0.933531746031746,8.247012920263087,8.552826007186068,7.92288448674192,8.984734888759741,0.774375359596575,0.7229443767556774,0.8179201780214573,0.6262267319863268,0.06346771926872885,0.0626990381560462,0.06517475120124581,0.0627440519588243,0.12366737739872068,0.1929637526652452,0.07249466950959488,0.34328358208955223,0.9459965279234498,0.9029202730670921,1.0727693293013298,0.8949726771698323,0.058919803600654665,0.08279430789133248,0.02771855010660981,0.155154091392136,0.059892965289160424,0.0773782612269599,0.04384201033698049,0.10699146765016318,3.873804162869825,4.053482774201409,3.707621730507709,4.377997799413307
csar-listwise,0.5685722323755373,0.14778815299083037,96.0,,0.5,0.6259920634920635,0.7757936507936508,0.4781746031746032,0.9494047619047619,8.447099610996442,8.762106838327261,8.157180805816333,9.176141470542788,0.7416831658036349,0.6791498502386029,0.7866911192337631,0.5685722323755373,0.14901207530401248,0.14919772465373463,0.14916979147658233,0.14965768564434606,0.10554371002132196,0.17590618336886993,0.0650319829424307,0.31982942430703626,1.0031775187200576,0.9562047250362348,1.1301430825358514,0.9406150402163646,0.03328050713153724,0.07544757033248081,0.014522821576763486,0.15987460815047022,0.055471620396246396,0.0729839616105594,0.0424917365813665,0.10170170781255734,4.0425294989055,4.2544895508588185,3.8759069386885914,4.612876017816427
mf,0.6895066758046502,0.07954819856389345,,,,0.5386904761904762,0.6964285714285714,0.40773809523809523,0.8948412698412699,7.7978291902834,8.195288165767005,7.3617704571765525,8.724147150487038,0.8318122398213017,0.7829623142789454,0.8713202694012928,0.6895066758046502,0.06376944410326864,0.06359354324835174,0.06472164778454255,0.064688187793958,0.11087420042643924,0.19402985074626866,0.057569296375266525,0.3486140724946695,0.6561398133794382,0.656962809563954,0.7453268915732533,0.7197541998647677,0.02578268876611418,0.05413105413105413,0.021897810218978103,0.1352549889135255,0.04869620703072845,0.0695347270386522,0.031629346616032276,0.09986051629446124,3.6139626060728,3.8125234491876197,3.4382158976383614,4.148268791628143
lightgcn-listwise,0.605811292178563,0.17708891594888357,,1.0,,0.5744047619047619,0.7450396825396826,0.43452380952380953,0.9464285714285714,8.233643430222912,8.570378481506218,7.92547425411406,9.059099134112246,0.7781456239212102,0.7204637949707247,0.8193116052391106,0.605811292178563,0.14361962842400133,0.1517460803508205,0.13867433753891992,0.16506616810150734,0.12899786780383796,0.20362473347547974,0.07462686567164178,0.34968017057569295,0.8592966984329956,0.8298607562650749,0.9727699442077548,0.8463487592078983,0.02936096718480138,0.06657789613848203,0.00684931506849315,0.15932914046121593,0.06252727612657799,0.08130839989415793,0.04507427168674661,0.11019532520940631,3.835682488278556,4.048809779454574,3.666884762373068,4.431977311050698
protomf,0.7776674027820083,0.07266456851449528,,,,0.34325396825396826,0.47619047619047616,0.23313492063492064,0.6964285714285714,6.964026616290407,7.5214987674171985,6.348766277306813,8.246610707771888,0.9073613649439876,0.8649434587267743,0.9382974582867973,0.7776674027820083,0.10463043296374283,0.10644863683875125,0.10221592908125417,0.1067698431658678,0.08848614072494669,0.15031982942430705,0.04584221748400853,0.27611940298507465,0.877999713044685,0.8431172625088235,1.0011215415844785,0.8471270910839537,0.017341040462427744,0.022916666666666665,0.00851063829787234,0.0584045584045584,0.04239603341590916,0.05773488095091293,0.028712696677895784,0.08254573229573255,3.3290485273763917,3.539323101662493,3.144187667419522,3.891501200700565
lightgcn,0.8657503722882187,0.2223307202800858,,1.0,,0.23015873015873015,0.33134920634920634,0.15376984126984128,0.5525793650793651,5.97686438240766,6.664934151707975,5.283537164992811,7.5048899600419094,0.9516306647036924,0.9245193039902528,0.9692443395268555,0.8657503722882187,0.11269382508193808,0.11589938671695633,0.10952776996969249,0.12201056666018845,0.06396588486140725,0.11727078891257996,0.024520255863539446,0.22707889125799574,0.26511421893387715,0.22814707837697032,0.38812071151697813,0.23416256141274977,0.12931034482758622,0.17365269461077845,0.12903225806451613,0.20107719928186715,0.030943869156784588,0.04437655080148574,0.01811736638701027,0.06599324169203541,3.1406217323548042,3.347567937611265,2.965701943799205,3.640128266943059
